channelId,name,englishName,affiliation,group,subscriptionCount,videoCount,photo
UCPLeqi7rIqS9uY4_TrSUOMg,あおぎり高校/Vtuber High School,Aogiri Highschool,Aogiri Highschool,,425000,293,https://yt3.ggpht.com/ytc/AMLnZu8xBrJm-rLgUaGrf1s9IxIymFL2lZ_7G8HYZw6R5A=s800-c-k-c0x00ffffff-no-rj
UCpLvJ42sm-edPGF8pKJonOQ,服巻有香／Fukumaki Yuka,Fukumaki Yuka,Iridori,,8810,456,https://yt3.ggpht.com/QumKswPB-qWdSrTb-bScLACixwV6AKrEJ2znNPMzgzZyILIz5vSaXPn_IsjYp6PeKP05_YKF=s800-c-k-c0x00ffffff-no-rj
UCPMOk4hbIh5A-_6uNhzAvDg,Kitsuneko Mewten Ch. Pixela-Isekai,Kitsuneko Mewten,Pixela Project,,24800,132,https://yt3.ggpht.com/X71RL_H3BrpTrhl_1lq54AvM3EZfEgfsmTrRhixK1MrNbBbXiLWrM2uZGWV61JgUavifp3ei1w=s800-c-k-c0x00ffffff-no-rj
UCpNkVsMlsJRF792H-1_1vPA,Melita X Ch. Pixela Project,Melita X,Pixela Project,,74500,330,https://yt3.ggpht.com/PWJGd-XIEKIr5cpxVmNrPg7YoXUvB1OOIzJXgwlfvuv3d8A2jDtGKAJFFpErmJ_xRxP0Hd1SQjw=s800-c-k-c0x00ffffff-no-rj
UCPnT8Fa3khqsILlxhxcCKHA,LeeandLieVODS,Monarch,Independents,,66900,103,https://yt3.ggpht.com/Vauw-bM_E1oT5Or2n3ZNhMIxVIVKniVL8O-C90rb0pMC1R_FPIIxMITRrgdmdTw7qG2VA5I1tg=s800-c-k-c0x00ffffff-no-rj
UCpNu3ngL8XHyQ0-T5I8dB2g,sakuya azusaCh.咲夜あずさ / プロプロ,Sakuya Azusa,ProPro,,24200,283,https://yt3.ggpht.com/7OLBQX6G5M5fQgbL63IXtP9EZVphbvOEsYNlEN9dOO2O67OpNTb9zM-OtSmYQGi1x2xkLDTs=s800-c-k-c0x00ffffff-no-rj
UCpPuEfqwYbpn7e2jWdQeWew,水瓶ミア/ミアちゃんねる,Mizugame Mia,ReAcT,,28200,283,https://yt3.ggpht.com/Nw0WZGhtQouayD5x0ScnwCQaHiJxrt5-Wwkpv8UUxwhKDqPS8BkdY06Xw5Tbjd0nALhlLKUScw=s800-c-k-c0x00ffffff-no-rj
UCpQBfGlXMoyu9eIgQDSHs2A,Ruri Ch. 真鹿るり,Mazika Ruri,GuildCQ,,4510,146,https://yt3.ggpht.com/eojcCveAA5F015QrUllR6G83czPgD19dzjG-2qDNb2K_5G5vUopwhXV-oz-MEOYdLglKo6xQjg=s800-c-k-c0x00ffffff-no-rj
UCptFEtQFy6u0_hReq9i8DCQ,Athelia Hiroyuki Ch. 博之 アテリア,Athelia Hiroyuki,MyHolo TV,,19000,129,https://yt3.ggpht.com/fYu6spLN_ONVWyA0H1wEcVt7unYdrkLhDlCk6vijMSQubbxudoO-8c30XCx7FmgXN6HLG08B=s800-c-k-c0x00ffffff-no-rj
UCPtSgQ5-yCPl9wbo5w7tmWQ,Evalia Ch.,Evalia,Independents,,35900,175,https://yt3.ggpht.com/ODaooKYExqaMD1Zt32AyPstKAi0uqtasZpYWD1nF99IFNuREu-DSYKHCSbDFGfvj1ICiBC0Evw=s800-c-k-c0x00ffffff-no-rj
